abertura;fechamento;maximo;minimo
69376;69445.68;69508.71;69255.98
69445.68;69273.32;69458;69257.52
69273.32;69068.01;69320;68849.77
69068.01;69219.57;69240;68960.01
69219.58;69329.33;69373.28;69194
69329.33;69372;69400;69310
69372;69309.69;69403.7;69303.33
69309.7;69343.43;69411.74;69229.74
69343.44;69279.73;69413.1;69234.14
69279.73;69201.21;69331.77;69069.51
69201.21;69031.3;69202.61;69031.29
69031.3;69197.18;69201.22;68901
69197.19;69209.99;69254;69106.89
69210;69313.6;69334.14;69150.2
69313.6;69200;69344.4;69183.6
69200;69410.35;69453;69188.05
69410.35;69339.99;69462.5;69324
69339.99;69362.01;69455.99;69284.71
69362.02;69360.39;69477.18;69314.47
69360.38;69395.61;69428.76;69168.29
69395.61;69203.98;69432;69179.2
69203.98;69280.95;69320.74;69043.24
69280.94;69325.99;69326;69249.99
69326;69292.01;69350.65;69285.7
